id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13188,Garden level studio in ideal loc.,51466,Emma,,Riley Park,49.24773,-123.10509,Entire home/apt,141,2,372,2025-08-08,1.98,1,190,51,Municipal registration number: 25-156058<br />Provincial registration number: H403372913
13358,Downtown Designer  one bedroom,52116,Lynn,,Downtown,49.28117370605469,-123.12593078613281,Entire home/apt,274,1,575,2025-06-22,3.12,1,134,43,Municipal registration number: 25-157257<br />Provincial registration number: H892192180
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,,365,3,2018-02-16,0.03,5,90,0,
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26557,-123.096,Private room,47,90,118,2019-12-31,0.67,1,261,0,
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27569,-123.07057,Private room,160,1,616,2025-08-05,3.57,1,47,54,Municipal registration number: 25-155972<br />Provincial registration number: H810324706
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,75,90,131,2023-06-01,0.75,4,365,0,Municipal registration number: 18-573700
20085,Cozy Oasis Uptown Garden Suite,75986,Tony And Rachel,,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,90,90,80,2024-08-31,0.42,1,304,1,
21912,Private Room + Attached Bathroom + dedicated entry,83871,Nian Hong,,Renfrew-Collingwood,49.23361,-123.05283,Private room,85,90,416,2024-09-30,2.42,4,116,2,Municipal registration number: 25-156162
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Nian Hong,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,,90,237,2024-09-12,1.42,4,47,2,Municipal registration number: 24-157525
24273,Avalon Guest Suite in Kitsilano,1267409,Julia,,Kitsilano,49.26216,-123.1715,Entire home/apt,350,90,17,2023-11-05,0.11,2,139,0,Municipal registration number: 20-175617
26047,The Alpha - 1BR Downtown Vancouver,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,,90,49,2024-11-27,0.29,4,157,3,
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24677,-123.1048,Entire home/apt,195,7,171,2025-08-08,0.99,1,237,27,Municipal registration number: 24-157686<br />Provincial registration number: H350474212
35102,FURNISHED 2Br + 2Br Yaletown PRIME location!,2283739,Karina,,Downtown,49.27743,-123.11869,Entire home/apt,199,90,78,2023-01-06,0.43,1,343,0,Provincial registration number: H834620868
35304,Location! Location! Private Studio on “the Drive”,151996,Howie And Lisa,,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,146,2,643,2025-08-08,3.52,1,298,35,Municipal registration number: 24-157240<br />Provincial registration number: H297741939
42645,The Charlie Downtown by Comfysuites,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,169,90,35,2024-09-22,0.19,4,234,2,
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.26778,-123.14674,Entire home/apt,,90,9,2016-08-22,0.05,1,0,0,
